"blueWins","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueTowersDestroyed","blueTotalGold","blueAvgLevel","blueTotalExperience","blueTotalMinionsKilled","blueTotalJungleMinionsKilled","blueGoldDiff","blueExperienceDiff","redWardsPlaced","redWardsDestroyed","redFirstBlood","redKills","redDeaths","redAssists","redEliteMonsters","redTowersDestroyed","redTotalGold","redAvgLevel","redTotalExperience","redTotalMinionsKilled","redTotalJungleMinionsKilled","redGoldDiff","redExperienceDiff"
0,28,2,"1",9,6,11,0,0,17210,6.6,17039,195,36,643,-8,15,6,"0",6,9,8,0,0,16567,6.8,17047,197,55,-643,8
0,12,1,"0",5,5,5,0,0,14712,6.6,16265,174,43,-2908,-1173,12,1,"1",5,5,2,2,1,17620,6.8,17438,240,52,2908,1173
0,15,0,"0",7,11,4,1,0,16113,6.4,16221,186,46,-1172,-1033,15,3,"1",11,7,14,0,0,17285,6.8,17254,203,28,1172,1033
0,43,1,"0",4,5,5,1,0,15157,7,17954,201,55,-1321,-7,15,2,"1",5,4,10,0,0,16478,7,17961,235,47,1321,7
0,75,4,"0",6,6,6,0,0,16400,7,18543,210,57,-1004,230,17,2,"1",6,6,7,1,0,17404,7,18313,225,67,1004,-230
1,18,0,"0",5,3,6,1,0,15899,7,18161,225,42,698,101,36,5,"1",3,5,2,0,0,15201,7,18060,221,59,-698,-101
1,18,3,"1",7,6,7,1,0,16874,6.8,16967,225,53,2411,1563,57,1,"0",6,7,9,0,0,14463,6.4,15404,164,35,-2411,-1563
0,16,2,"0",5,13,3,0,0,15305,6.4,16138,209,48,-2615,-800,15,0,"1",13,5,11,1,0,17920,6.6,16938,157,54,2615,800
0,16,3,"0",7,7,8,0,0,16401,7.2,18527,189,61,-1979,-771,15,2,"1",7,7,5,2,0,18380,7.2,19298,240,53,1979,771
1,13,1,"1",4,5,5,1,0,15057,6.8,16805,220,39,-1548,-1574,16,2,"0",5,4,4,0,0,16605,6.8,18379,247,43,1548,1574
0,20,3,"1",4,4,6,0,0,15474,6.6,16611,231,28,331,-1585,15,2,"0",4,4,5,1,0,15143,7.2,18196,216,51,-331,1585
0,33,2,"1",11,11,7,1,0,16695,7,18507,157,40,-1505,-635,17,1,"0",11,11,9,0,0,18200,7,19142,188,52,1505,635
1,18,1,"1",7,1,11,1,0,17865,7.4,19102,238,53,3274,1659,12,1,"0",1,7,1,0,0,14591,6.8,17443,240,50,-3274,-1659
0,14,3,"0",4,9,1,1,0,14979,6.6,17213,210,52,-3414,-1141,20,3,"1",9,4,11,0,0,18393,7.2,18354,229,51,3414,1141
1,15,3,"1",4,4,4,0,0,15722,6.8,17896,224,51,-470,-187,102,1,"0",4,4,3,0,0,16192,7,18083,242,48,470,187
0,17,1,"0",3,7,3,0,0,15015,6.8,16974,209,53,-1996,-1804,18,3,"1",7,3,13,0,0,17011,7.2,18778,237,51,1996,1804
1,14,1,"1",10,2,8,0,0,19733,7.6,20862,263,56,5228,3378,13,2,"0",2,10,2,1,0,14505,6.8,17484,210,64,-5228,-3378
0,43,3,"0",3,7,3,1,0,14852,6.8,16888,203,54,-1975,-1345,17,14,"1",7,3,6,0,0,16827,6.8,18233,218,53,1975,1345
1,21,4,"1",5,4,11,0,0,16282,6.8,17378,213,49,882,512,19,3,"0",4,5,3,2,0,15400,6.6,16866,228,52,-882,-512
0,11,3,"0",5,9,5,0,0,14994,7,17924,188,48,-3155,-2773,15,1,"1",9,5,9,0,0,18149,7.4,20697,219,56,3155,2773
1,14,3,"1",11,6,15,1,0,18606,7.2,19254,214,45,2526,1625,12,2,"0",6,11,4,0,0,16080,7,17629,225,48,-2526,-1625
0,13,1,"0",4,13,5,0,0,15878,6.8,16945,203,43,-2835,-2821,15,3,"1",13,4,14,1,0,18713,7.2,19766,209,45,2835,2821
0,17,2,"0",4,6,3,0,0,15773,7,17562,238,56,-1254,-567,16,3,"1",6,4,10,1,0,17027,7,18129,231,60,1254,567
0,78,4,"0",4,3,4,2,0,15906,6.8,19219,238,67,406,1283,15,3,"1",3,4,3,0,0,15500,7,17936,220,64,-406,-1283
1,33,3,"0",6,9,10,0,0,16515,6.8,17223,208,45,-1020,493,18,3,"1",9,6,13,0,0,17535,6.6,16730,197,36,1020,-493
0,17,1,"0",4,8,4,0,0,15415,6.2,16047,204,44,-2472,-1067,19,2,"1",8,4,13,1,0,17887,7,17114,221,36,2472,1067
1,18,1,"0",8,6,9,1,0,17178,7,17854,209,44,1260,-55,10,3,"1",6,8,3,0,0,15918,6.8,17909,233,36,-1260,55
0,19,3,"1",7,4,9,0,0,17226,7,18982,228,61,1857,2015,14,4,"0",4,7,2,1,0,15369,6.6,16967,202,49,-1857,-2015
0,105,5,"1",8,6,13,1,0,17474,6.8,17436,217,53,1320,-413,65,3,"0",6,8,11,0,0,16154,6.8,17849,223,40,-1320,413
0,18,5,"0",3,8,2,1,0,14905,6.8,17974,233,52,-3282,-1647,18,3,"1",8,3,12,0,0,18187,7.4,19621,225,52,3282,1647
1,22,7,"1",9,4,10,1,0,18132,7,18076,228,40,2883,2111,21,4,"0",4,9,2,0,0,15249,6.2,15965,227,36,-2883,-2111
1,17,4,"1",5,2,6,2,0,16053,6.8,17406,218,51,1703,1696,15,2,"0",2,5,2,0,0,14350,6.4,15710,206,48,-1703,-1696
0,12,3,"0",6,4,7,0,0,16438,6.8,16989,203,32,608,-85,19,2,"1",4,6,4,1,0,15830,6.8,17074,206,44,-608,85
0,15,2,"1",5,4,4,0,0,15634,6.8,16355,201,45,71,-359,14,1,"0",4,5,4,1,0,15563,6.8,16714,222,38,-71,359
1,40,2,"0",6,4,4,0,0,16085,7.4,19076,204,56,275,872,15,1,"1",4,6,5,1,0,15810,7.2,18204,223,62,-275,-872
0,24,3,"0",3,4,6,0,0,14981,6.8,17082,235,52,-809,638,17,2,"1",4,3,7,2,0,15790,6.8,16444,218,50,809,-638
0,12,4,"0",2,8,2,1,0,15421,7.2,19276,217,84,-2771,-1125,14,2,"1",8,2,5,0,0,18192,7.4,20401,234,64,2771,1125
0,20,2,"1",5,6,4,1,0,15665,6.8,17716,203,48,-1730,-1236,40,4,"0",6,5,6,1,0,17395,7,18952,214,67,1730,1236
0,11,3,"0",7,9,5,1,0,17528,7.2,19609,234,68,-904,1377,18,1,"1",9,7,9,1,0,18432,7,18232,227,40,904,-1377
0,18,2,"0",3,6,3,1,0,15032,6.6,16832,213,48,-1683,-1363,36,3,"1",6,3,6,1,0,16715,7,18195,236,44,1683,1363
0,28,3,"0",4,11,3,0,0,15483,6.8,17362,222,48,-3025,-1833,41,0,"1",11,4,16,1,0,18508,7.2,19195,213,39,3025,1833
